"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency"
"31.12.2023 00:00 - 31.12.2023 01:00","44.87","EUR"
"31.12.2023 01:00 - 31.12.2023 02:00","40.69","EUR"
"31.12.2023 02:00 - 31.12.2023 03:00","40.84","EUR"
"31.12.2023 03:00 - 31.12.2023 04:00","39.96","EUR"
"31.12.2023 04:00 - 31.12.2023 05:00","38.14","EUR"
"31.12.2023 05:00 - 31.12.2023 06:00","39.27","EUR"
"31.12.2023 06:00 - 31.12.2023 07:00","40.01","EUR"
"31.12.2023 07:00 - 31.12.2023 08:00","44.07","EUR"
"31.12.2023 08:00 - 31.12.2023 09:00","60.0","EUR"
"31.12.2023 09:00 - 31.12.2023 10:00","73.17","EUR"
"31.12.2023 10:00 - 31.12.2023 11:00","85.1","EUR"
"31.12.2023 11:00 - 31.12.2023 12:00","85.1","EUR"
"31.12.2023 12:00 - 31.12.2023 13:00","85.1","EUR"
"31.12.2023 13:00 - 31.12.2023 14:00","91.56","EUR"
"31.12.2023 14:00 - 31.12.2023 15:00","110.01","EUR"
"31.12.2023 15:00 - 31.12.2023 16:00","117.51","EUR"
"31.12.2023 16:00 - 31.12.2023 17:00","108.49","EUR"
"31.12.2023 17:00 - 31.12.2023 18:00","98.95","EUR"
"31.12.2023 18:00 - 31.12.2023 19:00","97.62","EUR"
"31.12.2023 19:00 - 31.12.2023 20:00","59.99","EUR"
"31.12.2023 20:00 - 31.12.2023 21:00","40.99","EUR"
"31.12.2023 21:00 - 31.12.2023 22:00","53.83","EUR"
"31.12.2023 22:00 - 31.12.2023 23:00","55.49","EUR"
"31.12.2023 23:00 - 01.01.2024 00:00","40.01","EUR"
"01.01.2024 00:00 - 01.01.2024 01:00","38.37","EUR"
"01.01.2024 01:00 - 01.01.2024 02:00","28.46","EUR"
"01.01.2024 02:00 - 01.01.2024 03:00","26.66","EUR"
"01.01.2024 03:00 - 01.01.2024 04:00","24.48","EUR"
"01.01.2024 04:00 - 01.01.2024 05:00","24.01","EUR"
"01.01.2024 05:00 - 01.01.2024 06:00","21.23","EUR"
"01.01.2024 06:00 - 01.01.2024 07:00","22.62","EUR"
"01.01.2024 07:00 - 01.01.2024 08:00","25.04","EUR"
"01.01.2024 08:00 - 01.01.2024 09:00","26.24","EUR"
"01.01.2024 09:00 - 01.01.2024 10:00","32.21","EUR"
"01.01.2024 10:00 - 01.01.2024 11:00","41.34","EUR"
"01.01.2024 11:00 - 01.01.2024 12:00","43.51","EUR"
"01.01.2024 12:00 - 01.01.2024 13:00","58.64","EUR"
"01.01.2024 13:00 - 01.01.2024 14:00","61.14","EUR"
"01.01.2024 14:00 - 01.01.2024 15:00","60.34","EUR"
"01.01.2024 15:00 - 01.01.2024 16:00","77.56","EUR"
"01.01.2024 16:00 - 01.01.2024 17:00","68.4","EUR"
"01.01.2024 17:00 - 01.01.2024 18:00","74.16","EUR"
"01.01.2024 18:00 - 01.01.2024 19:00","65.01","EUR"
"01.01.2024 19:00 - 01.01.2024 20:00","55.91","EUR"
"01.01.2024 20:00 - 01.01.2024 21:00","48.15","EUR"
"01.01.2024 21:00 - 01.01.2024 22:00","64.94","EUR"
"01.01.2024 22:00 - 01.01.2024 23:00","53.6","EUR"
"01.01.2024 23:00 - 02.01.2024 00:00","43.99","EUR"
"02.01.2024 00:00 - 02.01.2024 01:00","55.5","EUR"
"02.01.2024 01:00 - 02.01.2024 02:00","49.94","EUR"
"02.01.2024 02:00 - 02.01.2024 03:00","47.26","EUR"
"02.01.2024 03:00 - 02.01.2024 04:00","53.5","EUR"
"02.01.2024 04:00 - 02.01.2024 05:00","76.48","EUR"
"02.01.2024 05:00 - 02.01.2024 06:00","180.05","EUR"
"02.01.2024 06:00 - 02.01.2024 07:00","250.01","EUR"
"02.01.2024 07:00 - 02.01.2024 08:00","483.08","EUR"
"02.01.2024 08:00 - 02.01.2024 09:00","300.07","EUR"
"02.01.2024 09:00 - 02.01.2024 10:00","250.01","EUR"
"02.01.2024 10:00 - 02.01.2024 11:00","241.94","EUR"
"02.01.2024 11:00 - 02.01.2024 12:00","159.47","EUR"
"02.01.2024 12:00 - 02.01.2024 13:00","149.99","EUR"
"02.01.2024 13:00 - 02.01.2024 14:00","149.99","EUR"
"02.01.2024 14:00 - 02.01.2024 15:00","165.8","EUR"
"02.01.2024 15:00 - 02.01.2024 16:00","250.02","EUR"
"02.01.2024 16:00 - 02.01.2024 17:00","226.21","EUR"
"02.01.2024 17:00 - 02.01.2024 18:00","196.9","EUR"
"02.01.2024 18:00 - 02.01.2024 19:00","250.01","EUR"
"02.01.2024 19:00 - 02.01.2024 20:00","196.91","EUR"
"02.01.2024 20:00 - 02.01.2024 21:00","105.7","EUR"
"02.01.2024 21:00 - 02.01.2024 22:00","149.52","EUR"
"02.01.2024 22:00 - 02.01.2024 23:00","90.38","EUR"
"02.01.2024 23:00 - 03.01.2024 00:00","86.69","EUR"
"03.01.2024 00:00 - 03.01.2024 01:00","49.08","EUR"
"03.01.2024 01:00 - 03.01.2024 02:00","56.76","EUR"
"03.01.2024 02:00 - 03.01.2024 03:00","56.11","EUR"
"03.01.2024 03:00 - 03.01.2024 04:00","57.96","EUR"
"03.01.2024 04:00 - 03.01.2024 05:00","70.17","EUR"
"03.01.2024 05:00 - 03.01.2024 06:00","86.7","EUR"
"03.01.2024 06:00 - 03.01.2024 07:00","118.79","EUR"
"03.01.2024 07:00 - 03.01.2024 08:00","131.51","EUR"
"03.01.2024 08:00 - 03.01.2024 09:00","132.95","EUR"
"03.01.2024 09:00 - 03.01.2024 10:00","128.81","EUR"
"03.01.2024 10:00 - 03.01.2024 11:00","98.93","EUR"
"03.01.2024 11:00 - 03.01.2024 12:00","129.91","EUR"
"03.01.2024 12:00 - 03.01.2024 13:00","118.79","EUR"
"03.01.2024 13:00 - 03.01.2024 14:00","97.05","EUR"
"03.01.2024 14:00 - 03.01.2024 15:00","96.19","EUR"
"03.01.2024 15:00 - 03.01.2024 16:00","119.02","EUR"
"03.01.2024 16:00 - 03.01.2024 17:00","129.91","EUR"
"03.01.2024 17:00 - 03.01.2024 18:00","147.62","EUR"
"03.01.2024 18:00 - 03.01.2024 19:00","118.8","EUR"
"03.01.2024 19:00 - 03.01.2024 20:00","99.12","EUR"
"03.01.2024 20:00 - 03.01.2024 21:00","85.82","EUR"
"03.01.2024 21:00 - 03.01.2024 22:00","99.95","EUR"
"03.01.2024 22:00 - 03.01.2024 23:00","86.97","EUR"
"03.01.2024 23:00 - 04.01.2024 00:00","58.4","EUR"
"04.01.2024 00:00 - 04.01.2024 01:00","129.25","EUR"
"04.01.2024 01:00 - 04.01.2024 02:00","106.34","EUR"
"04.01.2024 02:00 - 04.01.2024 03:00","94.42","EUR"
"04.01.2024 03:00 - 04.01.2024 04:00","97.79","EUR"
