"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-2.8","2.1","0.6","0","-2.8","0","0"
"1","1","1","0","0","-3.6","2.6","0.6","0","-3.6","0","0"
"1","1","2","0","0","-4.4","2.4","0.6","0","-4.4","0","0"
"1","1","3","0","0","-5.1","2.3","0.6","0","-5.1","0","0"
"1","1","4","0","0","-5.8","2.1","0.6","0","-5.8","0","0"
"1","1","5","0","0","-6.3","2.4","0.6","0","-6.3","0","0"
"1","1","6","0","0","-7","2.8","0.6","0","-7","0","0"
"1","1","7","0","0","-7.5","3.1","0.6","0","-7.5","0","0"
"1","1","8","0","0","-7.8","2.2","0.6","0","-7.8","0","0"
"1","1","9","0","4","-8","1.4","0.6","3.879","-7.894","7.962","0"
"1","1","10","178","25","-8.3","0.5","0.6","110.52","-4.555","248.919","224.245"
"1","1","11","152","49","-7.7","0.7","0.6","144.566","-2.269","492.962","459.64"
"1","1","12","317","36","-7.1","0.8","0.6","209.784","0.63","734.978","693.08"
"1","1","13","192","34","-6.5","1","0.6","144.236","-1.523","480.637","447.752"
"1","1","14","0","22","-5.9","1.2","0.6","23.829","-5.222","51.809","34.119"
"1","1","15","0","0","-5.3","1.3","0.6","0","0","0","0"
"1","1","16","0","0","-4.7","1.5","0.6","0","-4.7","0","0"
"1","1","17","0","0","-4.4","1.7","0.6","0","-4.4","0","0"
"1","1","18","0","0","-4.2","1.9","0.6","0","-4.2","0","0"
"1","1","19","0","0","-3.9","2.1","0.6","0","-3.9","0","0"
"1","1","20","0","0","-3.8","1.9","0.6","0","-3.8","0","0"
"1","1","21","0","0","-3.6","1.7","0.6","0","-3.6","0","0"
"1","1","22","0","0","-3.5","1.5","0.6","0","-3.5","0","0"
"1","1","23","0","0","-3.4","1.3","0.6","0","-3.4","0","0"
"1","2","0","0","0","-3.3","1.2","0.6","0","-3.3","0","0"
"1","2","1","0","0","-3.2","1","0.6","0","-3.2","0","0"
"1","2","2","0","0","-3.3","1.5","0.6","0","-3.3","0","0"
"1","2","3","0","0","-3.5","2.1","0.6","0","-3.5","0","0"
"1","2","4","0","0","-3.6","2.6","0.6","0","-3.6","0","0"
"1","2","5","0","0","-3.7","2.8","0.6","0","-3.7","0","0"
"1","2","6","0","0","-3.8","2.9","0.6","0","-3.8","0","0"
"1","2","7","0","0","-3.9","3.1","0.6","0","-3.9","0","0"
"1","2","8","0","0","-4.2","2.6","0.6","0","-4.2","0","0"
"1","2","9","0","2","-4.6","2","0.6","1.94","-4.554","3.796","0"
"1","2","10","0","15","-4.9","1.5","0.6","14.396","-4.518","30.547","13.61"
"1","2","11","0","27","-4.9","1.9","0.6","26.029","-4.164","84.157","65.321"
"1","2","12","0","31","-4.8","2.2","0.6","30.329","-3.988","100.635","81.215"
"1","2","13","0","24","-4.8","2.6","0.6","23.05","-4.233","73.066","54.622"
"1","2","14","0","12","-5.1","2.2","0.6","11.512","-4.836","24.236","7.523"
"1","2","15","0","0","-5.3","1.9","0.6","0","0","0","0"
"1","2","16","0","0","-5.6","1.5","0.6","0","-5.6","0","0"
"1","2","17","0","0","-5.7","1.5","0.6","0","-5.7","0","0"
"1","2","18","0","0","-5.7","1.5","0.6","0","-5.7","0","0"
"1","2","19","0","0","-5.8","1.5","0.6","0","-5.8","0","0"
"1","2","20","0","0","-5.4","2","0.6","0","-5.4","0","0"
"1","2","21","0","0","-5.1","2.6","0.6","0","-5.1","0","0"
"1","2","22","0","0","-4.7","3.1","0.6","0","-4.7","0","0"
"1","2","23","0","0","-5","3.1","0.6","0","-5","0","0"
"1","3","0","0","0","-5.2","3.1","0.6","0","-5.2","0","0"
"1","3","1","0","0","-5.5","3.1","0.6","0","-5.5","0","0"
"1","3","2","0","0","-6.6","2.8","0.6","0","-6.6","0","0"
"1","3","3","0","0","-7.7","2.4","0.6","0","-7.7","0","0"
"1","3","4","0","0","-8.8","2.1","0.6","0","-8.8","0","0"
"1","3","5","0","0","-10","2.3","0.6","0","-10","0","0"
"1","3","6","0","0","-11.3","2.4","0.6","0","-11.3","0","0"
"1","3","7","0","0","-12.5","2.6","0.6","0","-12.5","0","0"
"1","3","8","0","0","-12.6","2.2","0.6","0","-12.6","0","0"
"1","3","9","0","4","-12.8","1.9","0.6","3.879","-12.705","8.146","0"
"1","3","10","215","25","-12.9","1.5","0.6","124.36","-9.637","286.269","260.271"
"1","3","11","174","51","-12.7","1.5","0.6","157.175","-7.85","551.649","516.248"
"1","3","12","370","37","-12.5","1.5","0.6","235.968","-5.166","850.566","804.573"
"1","3","13","309","33","-12.3","1.5","0.6","194.107","-6.336","671.479","631.831"
"1","3","14","78","27","-13.3","1.5","0.6","69.252","-11.479","157.983","136.53"
"1","3","15","0","1","-14.4","1.5","0.6","0.97","-14.374","0","0"
"1","3","16","0","0","-15.4","1.5","0.6","0","-15.4","0","0"
"1","3","17","0","0","-15.2","1.5","0.6","0","-15.2","0","0"
"1","3","18","0","0","-14.9","1.5","0.6","0","-14.9","0","0"
"1","3","19","0","0","-14.7","1.5","0.6","0","-14.7","0","0"
"1","3","20","0","0","-15.1","1.2","0.6","0","-15.1","0","0"
"1","3","21","0","0","-15.6","0.8","0.6","0","-15.6","0","0"
"1","3","22","0","0","-16","0.5","0.6","0","-16","0","0"
"1","3","23","0","0","-15.9","0.5","0.6","0","-15.9","0","0"
"1","4","0","0","0","-15.9","0.5","0.6","0","-15.9","0","0"
"1","4","1","0","0","-15.8","0.5","0.6","0","-15.8","0","0"
"1","4","2","0","0","-13.3","0.7","0.6","0","-13.3","0","0"
"1","4","3","0","0","-10.8","0.8","0.6","0","-10.8","0","0"
"1","4","4","0","0","-8.3","1","0.6","0","-8.3","0","0"
"1","4","5","0","0","-6.7","1.9","0.6","0","-6.7","0","0"
"1","4","6","0","0","-5","2.7","0.6","0","-5","0","0"
"1","4","7","0","0","-3.4","3.6","0.6","0","-3.4","0","0"
"1","4","8","0","0","-2.9","3.9","0.6","0","-2.9","0","0"
"1","4","9","0","2","-2.4","4.3","0.6","1.94","-2.368","3.753","0"
"1","4","10","0","15","-1.9","4.6","0.6","14.395","-1.675","30.158","13.236"
"1","4","11","0","28","-1.9","5.6","0.6","27.122","-1.465","87.369","68.419"
"1","4","12","0","32","-1.8","6.7","0.6","31.377","-1.352","103.539","84.016"
"1","4","13","0","26","-1.8","7.7","0.6","24.977","-1.479","79.342","60.677"
"1","4","14","0","13","-1.9","7.7","0.6","12.473","-1.762","25.983","9.208"
"1","4","15","0","1","-1.9","7.7","0.6","0.97","-1.889","0","0"
"1","4","16","0","0","-2","7.7","0.6","0","-2","0","0"
"1","4","17","0","0","-1.8","6.8","0.6","0","-1.8","0","0"
"1","4","18","0","0","-1.6","6","0.6","0","-1.6","0","0"
"1","4","19","0","0","-1.4","5.1","0.6","0","-1.4","0","0"
"1","4","20","0","0","-1.2","4.8","0.6","0","-1.2","0","0"
"1","4","21","0","0","-0.9","4.4","0.6","0","-0.9","0","0"
"1","4","22","0","0","-0.7","4.1","0.6","0","-0.7","0","0"
"1","4","23","0","0","-0.7","4.1","0.6","0","-0.7","0","0"
"1","5","0","0","0","-0.6","4.1","0.6","0","-0.6","0","0"
"1","5","1","0","0","-0.6","4.1","0.6","0","-0.6","0","0"
"1","5","2","0","0","-0.5","4.8","0.6","0","-0.5","0","0"
"1","5","3","0","0","-0.3","5.5","0.6","0","-0.3","0","0"
"1","5","4","0","0","-0.2","6.2","0.6","0","-0.2","0","0"
"1","5","5","0","0","-0.3","6.2","0.6","0","-0.3","0","0"
"1","5","6","0","0","-0.4","6.2","0.6","0","-0.4","0","0"
"1","5","7","0","0","-0.5","6.2","0.6","0","-0.5","0","0"
"1","5","8","0","0","-0.6","5.8","0.6","0","-0.6","0","0"
"1","5","9","0","3","-0.6","5.5","0.6","2.91","-0.559","5.683","0"
