Month,Day,Hour,Beam Irradiance (W/m²),Diffuse Irradiance (W/m²),Ambient Temperature (°C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m²),Cell Temperature (°C),DC Array Output (W),AC System Output (W)
1,1,0,0.0,0.0,-17.2,0.0,0.6,0.0,-17.2,0.0,0.0
1,1,1,0.0,0.0,-17.4,0.0,0.6,0.0,-17.4,0.0,0.0
1,1,2,0.0,0.0,-16.7,0.0,0.6,0.0,-16.7,0.0,0.0
1,1,3,0.0,0.0,-16.6,0.0,0.6,0.0,-16.6,0.0,0.0
1,1,4,0.0,0.0,-16.1,0.0,0.6,0.0,-16.1,0.0,0.0
1,1,5,0.0,0.0,-16.2,0.0,0.6,0.0,-16.2,0.0,0.0
1,1,6,0.0,0.0,-16.3,0.0,0.6,0.0,-16.3,0.0,0.0
1,1,7,0.0,0.0,-16.0,0.0,0.6,0.0,-16.0,0.0,0.0
1,1,8,0.0,0.0,-16.0,0.0,0.6,0.0,-16.0,0.0,0.0
1,1,9,0.0,0.0,-15.8,0.0,0.6,0.0,-15.8,0.0,0.0
1,1,10,9.0,107.3,-15.8,0.0,0.6,21.67,-15.12,247.13,237.24
1,1,11,61.0,497.31,-15.8,0.0,0.6,115.02,-12.21,1300.0,1248.0
1,1,12,95.0,764.65,-15.8,0.0,0.6,177.79,-10.24,1997.19,1917.3
1,1,13,96.0,1088.4,-15.8,0.0,0.6,223.31,-8.82,2497.43,2397.53
1,1,14,68.0,2901.74,-15.7,0.0,0.6,465.74,-1.15,5083.67,4880.32
1,1,15,9.0,0.0,-15.8,0.0,0.6,-0.02,-15.8,-0.23,-0.22
1,1,16,0.0,0.0,-15.9,0.0,0.6,0.0,-15.9,0.0,0.0
1,1,17,0.0,0.0,-16.1,0.0,0.6,0.0,-16.1,0.0,0.0
1,1,18,0.0,0.0,-16.0,0.0,0.6,0.0,-16.0,0.0,0.0
1,1,19,0.0,0.0,-16.1,0.0,0.6,0.0,-16.1,0.0,0.0
